Column1,Estimated 1 day vol,Estimated 1 Day Return,1 day PNL,Delta-Gamma PNL,$ Delta,$ Gamma,$ Theta,Diversification Index
DAX Index,0.12,0.01,18099.29,108973,2400000,161000,417,1.18
SPX Index,0.1,0.01,9023,108973,1400000,1375000,2932,1.18
NDX Index,0.13,0.01,33817,108973,4100000,450000,1750,1.18
ESA Index,0.06,0,0,108973,0,0,0,1.18
UKX Index,0.07,0,0,108973,0,0,0,1.18
NKY Index,0.12,0.01,18947,108973,2500000,228000,700,1.18
RTY Index,0.14,0.01,21121,108973,2400000,115000,402,1.18
SX5E Index,0.07,0,0,108973,0,0,0,1.18
HSCEI Index,0.23,0.01,0,108973,0,0,0,1.18
HSI Index,0.21,0.01,0,108973,0,0,0,1.18
XU1 Index,0.17,0.01,0,108973,0,0,0,1.18
KOSPI2 Index,0.14,0.01,0,108973,0,0,0,1.18
NH1 Index,0.1,0.01,0,108973,0,0,0,1.18
TWSE Index,0.1,0.01,0,108973,0,0,0,1.18
AS51 Index,0.07,0,0,108973,0,0,0,1.18
